#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,"$71,295,101,956",$4294.42,"16,601,800","$1,302,280,000",0.20%,-2.69%,9.22%
2,Ethereum,ETH,"$28,199,217,048",$297.04,"94,934,712","$344,953,000",0.13%,-0.20%,2.53%
4,Bitcoin Cash,BCH,"$6,635,440,339",$398.54,"16,649,288","$145,331,000",0.21%,-5.30%,-11.31%
5,Litecoin,LTC,"$2,765,566,126",$51.97,"53,212,207","$92,529,900",0.26%,-3.67%,-0.97%
8,NEO,NEO,"$1,640,400,000",$32.81,"50,000,000 *","$77,386,300",0.12%,-9.45%,24.94%
3,Ripple,XRP,"$7,668,269,907",$0.199987,"38,343,841,883 *","$53,332,400",0.05%,-1.45%,8.97%
11,Ethereum Classic,ETC,"$1,150,477,547",$11.97,"96,108,595","$35,958,100",0.30%,-4.58%,4.99%
10,Monero,XMR,"$1,368,675,345",$90.23,"15,168,117","$33,094,900",1.27%,-1.69%,-3.91%
15,Zcash,ZEC,"$561,281,457",$242.13,"2,318,119","$32,306,600",0.53%,-7.66%,4.98%
6,Dash,DASH,"$2,264,899,253",$298.22,"7,594,624","$31,689,100",0.64%,-5.93%,-12.78%
14,Cardano,ADA,"$580,955,648",$0.022407,"25,927,070,538","$26,200,900",-0.71%,-11.90%,?
25,BitShares,BTS,"$162,049,730",$0.062326,"2,600,030,000 *","$25,593,400",-0.78%,-21.33%,-21.98%
22,Hshare,HSR,"$203,734,384",$6.05,"33,678,445","$22,344,200",-0.05%,-16.32%,-1.50%
31,DigiByte,DGB,"$123,129,397",$0.014084,"8,742,253,657","$20,139,900",0.20%,-13.46%,-2.47%
9,IOTA,MIOTA,"$1,493,488,873",$0.537317,"2,779,530,283 *","$12,700,200",1.71%,-7.76%,0.37%
17,Stratis,STRAT,"$345,676,862",$3.51,"98,567,401 *","$10,517,200",2.52%,-12.54%,-20.43%
13,Lisk,LSK,"$623,165,976",$5.51,"113,052,955 *","$10,356,300",1.49%,0.41%,-11.03%
12,BitConnect,BCC,"$931,246,969",$135.41,"6,877,392","$8,326,370",0.05%,-2.41%,13.70%
16,Waves,WAVES,"$483,899,000",$4.84,"100,000,000 *","$6,621,590",0.26%,-1.08%,4.90%
51,Regalcoin,REC,"$38,766,198",$13.80,"2,810,000","$5,533,630",-1.30%,-30.19%,?
71,Einsteinium,EMC2,"$23,823,506",$0.111245,"214,153,496","$4,860,120",6.27%,-11.84%,32.92%
678,InfChain,INF,?,$0.007669,?,"$4,080,370",1.13%,-22.09%,23.85%
112,Internet of P...,IOP,"$9,334,735",$5.14,"1,816,107","$3,923,950",1.32%,14.58%,44.54%
7,NEM,XEM,"$2,010,069,000",$0.223341,"8,999,999,999 *","$3,367,640",-0.20%,-4.26%,-3.03%
90,DigitalNote,XDN,"$15,233,982",$0.002212,"6,885,695,758","$3,223,040",-0.12%,-6.04%,-5.68%
38,VeChain,VEN,"$90,401,744",$0.324359,"278,708,913 *","$3,098,290",-2.03%,9.66%,231.43%
40,Verge,XVG,"$88,934,302",$0.006632,"13,409,472,280","$2,914,410",-0.29%,-10.14%,8.73%
29,Factom,FCT,"$138,386,867",$15.82,"8,745,102 *","$2,768,300",-0.61%,-8.47%,-10.41%
188,VPNCoin,VASH,"$2,949,895",$0.007368,"400,339,746 *","$2,755,540",0.00%,-27.00%,132.48%
42,Nxt,NXT,"$65,849,681",$0.065916,"998,999,942 *","$2,687,100",3.21%,-6.58%,-0.22%
34,FirstCoin,FRST,"$107,187,302",$10.12,"10,594,667","$2,448,150",0.75%,-4.20%,27.83%
23,Stellar Lumens,XLM,"$194,468,787",$0.011724,"16,587,521,694 *","$2,437,080",0.20%,-8.63%,-4.58%
26,GameCredits,GAME,"$159,572,957",$2.48,"64,355,352","$2,388,900",-0.07%,2.84%,3.14%
33,Dogecoin,DOGE,"$113,390,363",$0.001018,"111,339,489,512","$1,924,450",-0.57%,-6.21%,-9.73%
28,Siacoin,SC,"$143,321,499",$0.004805,"29,826,023,472","$1,869,330",-0.26%,-7.96%,-0.95%
18,Steem,STEEM,"$296,085,262",$1.22,"242,154,936","$1,676,910",0.07%,-11.13%,11.88%
679,Fargocoin,FRGC,?,$7.92,?,"$1,519,830",0.12%,3.16%,8.32%
19,Ark,ARK,"$260,210,443",$2.66,"97,955,678 *","$1,462,950",0.70%,-6.42%,-12.89%
55,ZCoin,XZC,"$36,529,418",$11.67,"3,129,743","$1,439,430",0.38%,-1.76%,0.50%
56,Viacoin,VIA,"$35,168,527",$1.54,"22,844,123","$1,427,910",5.71%,7.77%,31.83%
24,Decred,DCR,"$180,302,018",$30.66,"5,879,848","$1,384,150",-0.77%,-5.91%,-11.03%
63,Metaverse ETP,ETP,"$26,964,512",$1.19,"22,600,000","$1,378,480",1.12%,-12.83%,-0.10%
21,Komodo,KMD,"$207,768,068",$2.06,"100,945,510","$1,369,870",-0.05%,-8.84%,4.09%
75,MonetaryUnit,MUE,"$21,726,469",$0.166767,"130,280,384","$1,328,800",-1.31%,-22.90%,6.63%
78,OKCash,OK,"$19,579,951",$0.268589,"72,899,302 *","$1,193,770",-0.96%,-3.30%,-18.32%
81,Obsidian,ODN,"$18,504,057",$0.758363,"24,400,000 *","$1,108,020",1.93%,40.90%,?
20,Bytecoin,BCN,"$227,782,311",$0.001243,"183,253,534,612","$1,101,140",0.12%,-5.48%,-4.86%
680,DynamicCoin,DMC,?,$1.00,?,"$961,713",0.00%,0.00%,0.00%
256,ZcCoin,ZCC,"$973,540",$0.015790,"61,657,044","$931,989",0.96%,-25.20%,157.90%
60,Aeon,AEON,"$30,061,796",$2.05,"14,651,140","$914,777",-1.69%,-4.41%,110.73%
35,Nexus,NXS,"$93,484,457",$1.77,"52,835,182","$894,881",6.99%,6.06%,-11.48%
41,Syscoin,SYS,"$77,088,830",$0.146023,"527,922,517","$792,356",-1.09%,-2.55%,-14.74%
182,Primecoin,XPM,"$3,197,918",$0.153583,"20,822,081","$775,079",1.74%,-17.17%,13.77%
117,E-Dinar Coin,EDR,"$8,658,344",$0.009770,"886,211,988","$689,879",-0.61%,-1.80%,-10.55%
145,EuropeCoin,ERC,"$5,460,044",$0.550200,"9,923,744","$686,268",-3.26%,11.80%,14.26%
47,NAV Coin,NAV,"$53,682,547",$0.868004,"61,845,967 *","$664,764",1.58%,-2.58%,1.43%
101,KoreCoin,KORE,"$13,130,306",$6.64,"1,977,220 *","$643,561",1.72%,10.66%,38.32%
27,PIVX,PIVX,"$159,571,791",$2.93,"54,411,222 *","$639,249",2.81%,1.90%,-2.78%
62,Peercoin,PPC,"$29,640,671",$1.22,"24,364,732","$637,320",-0.02%,-3.54%,-7.51%
50,Rise,RISE,"$40,251,646",$0.355771,"113,139,200 *","$625,531",0.38%,-8.17%,-22.85%
681,ATBCoin,ATB,?,$0.899763,?,"$612,337",-0.17%,-8.86%,-23.48%
128,BitSend,BSD,"$7,285,395",$0.436957,"16,673,025","$586,494",-0.38%,-4.16%,13.57%
366,AppleCoin,APW,"$3,519",$0.083117,"42,337","$553,358",2.53%,-84.58%,-83.78%
59,ReddCoin,RDD,"$30,717,999",$0.001073,"28,633,748,137 *","$532,257",-2.08%,-9.21%,-20.52%
682,eBoost,EBST,?,$0.152181,? *,"$519,240",-2.72%,-8.54%,-35.22%
53,Elastic,XEL,"$37,578,201",$0.433224,"86,740,810 *","$518,967",-0.75%,-5.88%,-13.28%
213,Bata,BTA,"$1,661,538",$0.333793,"4,977,751","$512,760",4.21%,-58.79%,-50.89%
167,Dynamic,DYN,"$3,890,219",$2.14,"1,815,272 *","$501,189",-2.16%,-2.42%,8.14%
52,Vertcoin,VTC,"$38,410,069",$0.960433,"39,992,450","$495,749",0.39%,-4.98%,-6.18%
161,Bismuth,BIS,"$4,354,594",$0.891136,"4,886,565","$484,752",8.32%,6.24%,?
96,LBRY Credits,LBC,"$14,319,296",$0.208966,"68,524,524","$480,611",-0.60%,-9.82%,-7.88%
105,ATC Coin,ATCC,"$12,258,428",$1.16,"10,525,960 *","$470,107",-0.33%,-5.83%,-0.91%
187,Memetic,MEME,"$3,003,352",$0.182477,"16,458,796","$467,074",-5.12%,-18.55%,21.93%
70,Clams,CLAM,"$23,954,675",$9.06,"2,644,763 *","$465,483",-1.02%,-7.22%,5.62%
683,Tezos (Pre-La...,XTZ,?,$2.00,?,"$445,017",-0.17%,18.29%,?
108,LoMoCoin,LMC,"$10,651,199",$0.049147,"216,723,010 *","$437,603",7.48%,-6.99%,-17.23%
190,vTorrent,VTR,"$2,842,014",$0.262761,"10,815,966","$431,410",-0.29%,-14.43%,24.13%
134,Stealthcoin,XST,"$6,155,533",$0.227516,"27,055,383","$417,814",-7.07%,13.75%,-3.02%
95,Burst,BURST,"$14,457,593",$0.008030,"1,800,339,818","$405,488",0.43%,-9.86%,-3.53%
72,Crown,CRW,"$23,318,834",$1.51,"15,470,086","$364,185",-2.76%,9.71%,-2.87%
